iter	Passed	Remaining
404	8552	23124
405	8572	23098
406	8597	23088
407	8613	23052
408	8640	23048
409	8660	23023
410	8671	22977
411	8689	22947
412	8709	22922
413	8734	22911
414	8750	22878
415	8769	22851
416	8800	22856
417	8810	22807
418	8832	22787
419	8844	22743
420	8871	22736
421	8881	22688
422	8897	22655
423	8915	22624
424	8934	22598
425	8955	22577
426	8963	22524
427	8975	22479
428	8989	22441
429	9005	22410
430	9019	22371
431	9033	22331
432	9043	22285
433	9059	22251
434	9073	22214
435	9091	22186
436	9106	22151
437	9153	22194
438	9159	22136
439	9170	22092
440	9187	22062
441	9199	22020
442	9206	21966
443	9257	22018
444	9267	21971
445	9292	21959
446	9309	21931
447	9338	21929
448	9350	21887
449	9378	21883
450	9408	21884
451	9422	21847
452	9441	21821
453	9462	21800
454	9475	21761
455	9491	21730
456	9546	21787
457	9573	21781
458	9597	21767
459	9639	21794
460	9645	21738
461	9663	21712
462	9692	21707
463	9704	21666
464	9719	21633
465	9737	21607
466	9778	21630
467	9810	21633
468	9819	21586
469	9834	21552
470	9858	21538
471	9883	21524
472	9898	21492
473	9930	21494
474	9946	21462
475	9961	21430
476	9993	21432
477	10009	21400
478	10025	21369
479	10040	21336
480	10077	21348
481	10089	21308
482	10117	21302
483	10133	21272
484	10153	21248
485	10181	21242
486	10200	21217
487	10216	21187
488	10240	21172
489	10262	21153
490	10288	21143
491	10312	21127
492	10332	21104
493	10352	21082
494	10372	21058
495	10395	21042
496	10411	21012
497	10429	20985
498	10459	20982
499	10479	20959
500	10499	20935
501	10519	20912
502	10539	20890
503	10558	20866
504	10579	20844
505	10599	20821
506	10627	20814
507	10671	20839
508	10714	20860
509	10746	20860
510	10769	20842
511	10799	20839
512	10830	20836
513	10858	20829
514	10913	20872
515	10932	20848
516	10967	20853
517	10990	20835
518	11029	20848
519	11049	20823
520	11088	20837
521	11126	20846
522	11139	20809
523	11149	20766
524	11209	20817
525	11235	20805
526	11253	20777
527	11287	20779
528	11348	20830
529	11368	20806
530	11396	20796
531	11423	20786
532	11452	20777
533	11482	20771
534	11495	20735
535	11521	20721
536	11560	20732
537	11583	20712
538	11590	20664
539	11626	20668
540	11659	20667
541	11683	20650
542	11709	20636
543	11745	20641
544	11750	20590
545	11758	20545
546	11819	20592
547	11837	20564
548	11866	20555
549	11883	20525
550	11910	20514
551	11932	20492
552	11957	20477
553	11992	20477
554	12012	20453
555	12032	20428
556	12056	20412
557	12087	20405
558	12100	20368
559	12133	20367
560	12169	20369
561	12187	20342
562	12209	20319
563	12228	20293
564	12256	20282
565	12285	20273
566	12298	20237
567	12339	20247
568	12363	20229
569	12380	20199
570	12402	20178
571	12445	20191
572	12455	20150
573	12484	20140
574	12520	20142
575	12546	20126
576	12602	20160
577	12623	20136
578	12641	20108
579	12667	20092
580	12681	20058
581	12714	20055
582	12764	20076
583	12787	20056
584	12810	20036
585	12821	19997
586	12835	19963
587	12855	19938
588	12868	19902
589	12886	19876
590	12901	19842
591	12927	19828
592	12950	19807
593	12966	19777
594	12983	19747
595	13003	19723
596	13012	19681
597	13024	19645
598	13036	19608
599	13050	19575
600	13063	19540
601	13074	19503
602	13108	19499
603	13126	19472
604	13145	19446
605	13163	19419
606	13186	19400
607	13211	19383
608	13237	19367
609	13258	19345
610	13275	19315
611	13295	19291
612	13312	19262
613	13330	19235
614	13347	19207
615	13365	19181
616	13385	19156
617	13403	19129
618	13424	19106
619	13441	19078
620	13461	19053
621	13480	19028
622	13499	19003
623	13518	18977
624	13538	18953
625	13555	18926
626	13573	18899
627	13586	18865
628	13606	18842
629	13625	18816
630	13646	18793
631	13663	18765
632	13681	18739
633	13699	18713
634	13717	18685
635	13737	18661
636	13755	18636
637	13775	18611
638	13792	18584
639	13811	18559
640	13828	18532
641	13848	18507
642	13866	18481
643	13884	18455
644	13901	18427
645	13922	18405
646	13941	18380
647	13958	18352
648	13970	18319
649	13985	18289
650	13994	18250
651	14009	18220
652	14032	18201
653	14048	18172
654	14057	18135
655	14076	18110
656	14091	18080
657	14112	18058
658	14121	18021
659	14132	17986
660	14153	17964
661	14165	17931
662	14175	17895
663	14192	17868
664	14219	17854
665	14230	17819
666	14245	17790
667	14260	17761
668	14269	17724
669	14288	17700
670	14297	17663
671	14312	17635
672	14320	17597
673	14340	17574
674	14356	17546
675	14369	17515
676	14384	17486
677	14395	17453
678	14418	17433
679	14427	17398
680	14443	17370
681	14455	17338
682	14466	17304
683	14485	17280
684	14495	17246
685	14510	17218
686	14518	17180
687	14531	17150
688	14545	17121
689	14562	17094
690	14574	17063
691	14583	17027
692	14598	16999
693	14616	16975
694	14634	16951
695	14648	16921
696	14661	16891
697	14673	16860
698	14693	16837
699	14708	16809
700	14717	16774
701	14731	16746
702	14745	16717
703	14765	16694
704	14788	16676
705	14807	16653
706	14815	16618
707	14829	16588
708	14848	16565
709	14861	16536
710	14879	16512
711	14895	16485
712	14904	16451
713	14924	16429
714	14931	16393
715	14952	16372
716	14967	16345
717	14980	16315
718	14987	16279
719	15000	16250
720	15014	16221
721	15035	16202
722	15046	16170
723	15055	16136
724	15067	16107
725	15083	16080
726	15106	16062
727	15122	16036
728	15135	16007
729	15146	15976
730	15165	15953
731	15178	15925
732	15197	15901
733	15210	15873
734	15227	15849
735	15263	15844
736	15281	15821
737	15301	15799
738	15317	15773
739	15341	15756
740	15353	15726
741	15373	15705
742	15388	15678
743	15401	15649
744	15413	15620
745	15440	15605
746	15457	15581
747	15472	15555
748	15482	15523
749	15495	15495
750	15506	15465
751	15524	15441
752	15532	15408
753	15543	15378
754	15555	15349
755	15571	15324
756	15587	15299
757	15599	15269
758	15607	15237
759	15620	15209
760	15635	15183
761	15655	15162
762	15667	15133
763	15678	15103
764	15718	15102
765	15735	15078
766	15761	15062
767	15793	15052
768	15830	15048
769	15854	15030
770	15870	15006
771	15886	14981
772	15905	14959
773	15919	14931
774	15934	14906
775	15950	14881
776	15966	14856
777	15981	14831
778	15998	14807
779	16015	14783
780	16054	14779
781	16082	14765
782	16093	14737
783	16119	14721
784	16145	14705
785	16174	14692
786	16192	14670
787	16205	14642
788	16228	14624
789	16246	14601
790	16268	14581
791	16275	14549
792	16292	14525
793	16316	14508
794	16324	14476
795	16357	14467
796	16373	14441
797	16388	14417
798	16411	14398
799	16431	14377
800	16440	14347
801	16467	14331
802	16476	14301
803	16490	14275
804	16519	14262
805	16540	14241
806	16563	14223
807	16589	14208
808	16605	14183
809	16621	14158
810	16643	14139
811	16667	14122
812	16675	14090
813	16683	14059
814	16702	14038
815	16718	14013
816	16730	13986
817	16766	13978
818	16786	13958
819	16802	13933
820	16810	13903
821	16834	13885
822	16855	13865
823	16873	13842
824	16892	13820
825	16929	13814
826	16947	13791
827	16971	13773
828	16991	13753
829	17019	13738
830	17043	13720
831	17054	13692
832	17065	13664
833	17084	13643
834	17099	13617
835	17121	13598
836	17143	13579
837	17165	13560
838	17179	13534
839	17218	13528
840	17241	13510
841	17260	13488
842	17277	13465
843	17296	13443
844	17308	13416
845	17331	13398
846	17346	13373
847	17368	13354
848	17383	13329
849	17399	13305
850	17423	13287
851	17433	13259
852	17448	13234
853	17461	13208
854	17479	13186
855	17491	13159
856	17510	13138
857	17522	13111
858	17538	13087
859	17554	13064
860	17578	13046
861	17597	13024
862	17613	13000
863	17627	12975
864	17638	12948
865	17654	12925
866	17672	12902
867	17691	12881
868	17707	12857
869	17725	12835
870	17742	12812
871	17759	12790
872	17778	12768
873	17809	12756
874	17817	12726
875	17836	12705
876	17859	12687
877	17868	12658
878	17878	12630
879	17896	12608
880	17904	12580
881	17927	12561
882	17940	12536
883	17959	12514
884	17967	12486
885	17988	12465
886	18008	12445
887	18027	12424
888	18038	12397
889	18048	12370
890	18064	12347
891	18074	12320
892	18087	12294
893	18104	12272
894	18123	12251
895	18136	12226
896	18158	12206
897	18170	12181
898	18234	12190
899	18256	12170
900	18278	12151
901	18294	12128
902	18313	12107
903	18322	12079
904	18342	12059
905	18354	12034
906	18385	12020
907	18402	11997
908	18429	11982
909	18436	11953
910	18472	11943
911	18485	11918
912	18544	11922
913	18571	11906
914	18582	11880
915	18636	11881
916	18652	11858
917	18666	11834
918	18680	11810
919	18702	11790
920	18723	11770
921	18732	11743
922	18760	11727
923	18769	11700
924	18807	11691
925	18818	11665
926	18836	11643
927	18845	11615
928	18859	11591
929	18876	11569
930	18905	11554
931	18921	11531
932	18929	11503
933	18945	11480
934	18974	11465
935	18979	11436
